单词,美式音标,中文翻译,例句,例句翻译
sincere,sɪn'sɪr,adj. 真诚的；诚挚的；真实的,Please accept my sincere apologies .,请接受我真诚的道歉。
permit,pɚ'mɪt,v. 许可；允许；n. 许可证，执照,Smoking is only permitted in the public lounge.,只允许在公共休息室里抽烟。
swear,swɛr,v. 发誓；咒骂；n. 宣誓；诅咒,Don’t swear in front of the children.,不要在孩子们面前说粗话。
span,spæn,n. 跨度，跨距；范围；v. 跨越；持续；以手指测量,"It is a very pretty butterfly, with a 2 inch wing span.",它是一只非常漂亮的蝴蝶，翅膀张开有2英寸宽。
aggression,ə'ɡrɛʃən,n. 侵略；进攻；侵犯；侵害,an unprovoked act of aggression,无端的侵犯
genre,'ʒɑnrə,n. 类型；种类；体裁；样式；流派；风俗画；adj. 风俗画的；以日常情景为主题的,a literary genre,文学体裁
competition,",kɑmpə'tɪʃən",n. 竞争；比赛，竞赛,Going to trade fairs is an ideal opportunity to size up the competition .,参加商品交易会是估量竞争规模的理想机会。
junction,'dʒʌŋkʃən,n. 连接，接合；交叉点；接合点,the junction of Abbot Road and Mill Street,阿伯特路与米尔街的交叉口
emerge,ɪ'mɝdʒ,v. 浮现；摆脱；暴露,The flowers emerge in the spring.,花儿在春天开放。
assist,ə'sɪst,n. 帮助；助攻；v. 参加；出席,He asked us to assist him in carrying through their plan.,他要我们帮助他实施他们的计划。
rise,raɪz,v. 上升；增强；起立；高耸；n. 上升；高地；增加；出现,The police seem unable to cope with the rising tide of (= large increase in ) car crime.,面对日益增多的汽车罪案，警方似乎无能为力。
require,rɪ'kwaɪr,v. 需要；要求；命令,Campbell’s broken leg will probably require surgery.,坎贝尔的一条腿骨折，可能需要手术。
kidnap,'kɪdnæp,v. 绑架；诱拐；拐骗,Police appealed for wit­nesses after a woman was kidnapped at gunpoint.,一名妇女遭到持枪绑架，警方呼吁目击者挺身而出。
stake,stek,n. 桩，棍子；赌注；火刑；奖金；v. 资助，支持；系…于桩上；把…押下打赌,"For a dollar stake, you can win up to $1,000,000.",押一美元赌注，最多可赢一百万美元。
vision,'vɪʒən,n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）；vt. 想象；显现；梦见,She suffered temporary loss of vision after being struck on the head.,她头部受撞击以后出现暂时性失明。
obedient,oˈbidiənt,adj. 顺从的，服从的；孝顺的,an obedient child,听话的孩子
illustration,",ɪlə'streʃən",n. 说明；插图；例证；图解,The book contains 62 pages of illustrations.,这本书有62页插图。
civilise,,v. 教化；文明化；使开化,And the mission to civilise that was the colonial kind of project is now a mission to civilise France's own population.,文明化工程在过去本是殖民性质的工程，可现在它却成了教化法国自己人口的工程。
criterion,kraɪˈtɪriən,n. （批评判断的）标准；准则；规范；准据,the criteria we use to select candidates,我们挑选候选人的标准
wealth,wɛlθ,n. 财富；大量；富有,The country’s wealth comes from its oil.,这个国家的财富来自石油。
diverse,daɪ'vɝs,adj. 不同的；多种多样的；变化多的,The building houses a wide and diverse variety of antiques.,这栋楼里摆放着大量各式各样的古董。
function,'fʌŋkʃən,n. 功能；[数] 函数；职责；盛大的集会；v. 运行；活动；行使职责,"The nervous system regulates our bodily functions (= eating, breathing, going to the toilet etc ) .",神经系统控制着我们身体的功能。
contrary,'kɑntrɛri,adj. 相反的；对立的；adv. 相反地；n. 相反；反面,Two contrary views emerged.,出现了两种相反的观点。
behave,bɪ'hev,v. 表现；（机器等）运转；举止端正；（事物）起某种作用,She behaved in a very responsible way .,她表现得很有责任心。
scratch,skrætʃ,n. 擦伤；抓痕；刮擦声；乱写；adj. 打草稿用的；凑合的；碰巧的；v. 抓；刮；挖出；乱涂,There were deep scratches all over her face.,她脸上全是深深的伤痕。
apart,ə'pɑrt,adv. 相距；与众不同地；分离着；adj. 分离的；与众不同的,They have offices in countries as far apart as India and Peru.,他们的办事处远至印度、秘鲁等国。
lecture,'lɛktʃɚ,n. 演讲；讲稿；教训；v. 演讲；训诫,...a series of lectures by Professor Eric Robinson.,…埃里克·鲁滨逊教授的系列讲座。
coordinate,ko'ɔrdɪnet,n. 坐标；同等的人或物；adj. 并列的；同等的；v. 调整；整合,Matching bag and accessories provide a complete ensemble of colour coordinates.,颜色协调的包和饰品使全套服装的颜色搭配齐全了。
dawn,dɔn,n. 黎明；开端；v. 破晓；出现；被领悟,"When dawn broke (= the first light of the day appeared ) , we were still 50 miles from Calcutta.",破晓的时候，我们离加尔各答还有50英里。
pollution,pə'luʃən,n. 污染,California’s tough anti-pollution laws,加利福尼亚州严厉的反污染法
conserve,kən'sɝv,v. 保存；将…做成蜜饯；使守恒；n. 果酱；蜜饯,We must conserve our woodlands for future generations.,我们必须为子孙后代保护林地。
equal,'ikwəl,adj. 平等的；相等的；胜任的；v. 等于；比得上；n. 对手；匹敌；同辈；相等的事物,Our constitution states that all men are equal.,我们的宪法规定人人平等。
conception,kən'sɛpʃən,n. 怀孕；概念；设想；开始,the original conception of the book,此书最初的构想
collect,kə'lɛkt,v. 收集；募捐；adv. 由收件人付款地；adj. 由收件人付款的；n. (Collect)人名；(英)科莱克特,"After 25 years of collecting recipes, she has compiled them into a cookbook.",她搜集了25年食谱，把它们编成一本烹饪书。
crash,kræʃ,n. 撞碎；坠毁；破产；轰隆声；睡觉；v. 摔碎；坠落；发出隆隆声；(金融企业等)破产,a crash victim,车祸受害者
traitor,'tretɚ,n. 叛徒；卖国贼；背信弃义的人,Some say he's a traitor to the peace movement.,一些人说他是和平运动的背叛者。
propose,prə'poz,v. 建议；打算，计划；求婚,the changes currently proposed by the local planning authorities,目前由地方规划局提议的改革
expire,ɪk'spaɪɚ,v. 期满；终止；死亡；呼气,The chairman’s term of office has already expired.,主席任期已满。
absence,'æbsns,n. 没有；缺乏；缺席；不注意,"In the absence of any evidence, the police had to let Myers go.",警察没有证据，只好把迈尔斯放了。
authentic,ɔ'θɛntɪk,adj. 真正的，真实的；可信的,an authentic account,真实可信的说法
deadline,ˈdedlaɪn,n. 截止期限，最后期限,I’m always working under pressure to meet deadlines (= finish something on time ) .,我总是在赶工期的压力下工作。
proposition,",prɑpə'zɪʃən",n. [数] 命题；提议；主题；议题；v. 向…提议；向…求欢,He telephoned Stuart with a proposition.,他打电话给斯图尔特提了个建议。
maximum,ˈmæksəməm,n. [数] 极大，最大限度；最大量；adj. 最高的；最多的；最大极限的,"We might have a third child, but that’s the absolute maximum .",我们可能会要第三个孩子，但这绝对是极限了。
foster,'fɔstɚ,v. 培养；养育，抚育；抱（希望等）；adj. 收养的，养育的；n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特,The bishop helped foster the sense of a community embracing all classes.,主教鼓励一种包容各个阶层的社区精神。
superfluous,sʊ'pɝflʊəs,adj. 多余的；不必要的；奢侈的,a modern building with no superfluous decoration,一栋没有多余装饰的现代建筑
process,'prɑsɛs,v. 处理；加工；n. 过程，进行；方法，步骤；作用；程序；推移；adj. 经过特殊加工（或处理）的,Goats’ cheese may be processed in many ways.,山羊奶干酪可以有多种加工方法。
ignore,ɪɡ'nɔr,v. 驳回诉讼；忽视；不理睬,You can’t ignore the fact that many criminals never go to prison.,你不能无视很多罪犯从未获刑的事实。
retreat,rɪ'trit,n. 撤退；休息寓所；撤退；v. 撤退；退避；向后倾,Napoleon’s retreat from Moscow,拿破仑从莫斯科的撤退
patience,'peʃns,n. 耐性，耐心；忍耐，容忍,He doesn't have the patience to wait.,他没有耐心等。
venture,'vɛntʃɚ,v. 敢于；n. 企业；风险；冒险,...a Russian-American joint venture.,…一个俄美合资的风险项目。
adequate,ˈædɪkwət,adj. 充足的；适当的；胜任的,Farmers have been slow to make adequate provision for their retirement.,农民们迟迟没有为退休做好适当安排。
yield,jild,v. 屈服；出产，产生；放弃；n. 产量；收益,Our research has only recently begun to yield important results.,直到最近我们的研究才开始取得重要成果。
versus,'vɝsəs,prep. 对；与相对；对抗,the New York Knicks versus the LA Lakers,纽约尼克斯队对洛杉矶湖人队
barren,'bærən,adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的；n. 荒地,Thousands of years ago the surface was barren desert.,很久很久以前，地面还是一片荒漠。
mass,mæs,n. 块，团；群众，民众；大量，众多；质量；adj. 群众的，民众的；大规模的，集中的；v. 聚集起来，聚集,The road was blocked by a solid mass of protesters.,道路被密密麻麻的抗议者阻塞了。
exhibit,ɪɡ'zɪbɪt,v. 展览；显示；提出（证据等）；n. 展览品；证据；展示会,Her paintings have been exhibited all over the world.,她的绘画作品在世界各地展出。
reference,'rɛfrəns,n. 参考，参照；涉及，提及；参考书目；介绍信；证明书；v. 引用,The official at the American embassy asked me for two references.,美国大使馆的官员要我提供两名证明人。
veteran,'vɛtərən,n. 老兵；老手；富有经验的人；老运动员；adj. 经验丰富的；老兵的,a Vietnam veteran,越战老兵
prosecute,'prɑsɪ'kjʊt,v. 检举；贯彻；从事；依法进行,"Mrs Lynn Smith, prosecuting, said the offence took place on January 27.",控方律师林恩·史密斯夫人称案件发生于1月27日。
dwelling,'dwɛlɪŋ,n. 住处；寓所；v. 居住（dwell的现在分词）,"Some 3,500 new dwellings are planned for the area.",大约三千五百套新住宅计划在这个地区新建。
pressing,'prɛsɪŋ,n. 压；冲压件；adj. 紧迫的；迫切的；恳切的；v. 压；按；熨烫衣物（press的ing形式）,"The CD, released in October, sold out a first pressing of 1,500 in just four months.","这张光盘发行于10月份，第一批压制的1,500张仅仅四个月就销售一空。"
progress,'prɑɡrɛs,n. 进步，发展；前进；v. 前进，进步；进行,We made good progress despite the snow.,尽管下雪，我们的行程还是很顺利。
accountant,ə'kaʊntənt,n. 会计师；会计人员,The boss dropped an accountant from the payroll.,老板把一名会计师从在职人员名单中除了名。
conceal,kən'sil,v. 隐藏；隐瞒,The shadows concealed her as she crept up to the house.,她借着阴影蹑手蹑脚地走向房子。
rebel,rɪ'bɛl,v. 反叛；反抗；造反；n. 反叛者；叛徒；adj. 反抗的；造反的,Voters rebelled against high property taxes.,投票者们反对高额财产税。
financial,faɪ'nænʃl,adj. 金融的；财政的，财务的,financial transactions,财务往来
slight,slaɪt,adj. 轻微的，少量的；脆弱的；细长的；不重要的；v. 轻视，忽略；怠慢；n. 怠慢；轻蔑,a slight improvement,些许的改进
portion,'pɔrʃən,n. 部分；一份；命运；v. 分配；给…嫁妆,Do you have any children’s portions?,你们有儿童餐吗？
fertile,ˈfɝtəl; (canadian) ˈfɝˌtaɪl,adj. 富饶的，肥沃的；能生育的,800 acres of fertile cropland,800英亩的肥沃耕地
store,stɔr,n. 商店；储备，贮藏；仓库；v. 贮藏，储存,At Christmas the stores stay open late.,在圣诞节期间，商店营业到很晚。
comic,'kɑmɪk,adj. 喜剧的；滑稽的；有趣的；n. 连环漫画；喜剧演员；滑稽人物,a comic novel,滑稽小说
electron,ɪ'lɛktrɑn,n. 电子,Most things are balanced - with equal numbers of electrons and protons.,大部分物体都是电荷平衡的——含等量的电子和质子。
architecture,'ɑrkə'tɛktʃɚ,n. 建筑学；建筑风格；建筑式样；架构,He studied architecture at university.,他在大学里读的是建筑学。
relation,rɪ'leʃən,n. 关系；叙述；故事；亲属关系,The price the meat is sold for bears no relation to (= is not connected to ) the price the farmer receives.,肉的售价和农民拿到的价格无关。
transit,'træzɪt,n. 运输；经过；v. 运送,baggage that is lost or damaged in transit,在运输过程中丢失或损坏的行李
anticipate,æn'tɪsə'pet,v. 预期，期望；占先，抢先；提前使用,Sales are better than anticipated.,销量比预期要好。
strain,stren,n. 张力；拉紧；负担；扭伤；血缘；v. 拉紧；尽力,I couldn’t look after him any more; the strain was too much for me.,我不能再照看他了，压力太大。
drawback,'drɔbæk,n. 缺点，不利条件；退税,It’s a great city – the only drawback is the weather.,这是座很不错的城市，唯一的不足就是天气。
apparatus,ˌæpəˈrætəs,n. 装置，设备；仪器；器官,Astronauts have special breathing apparatus.,航天员有专门的呼吸装装备。
monopoly,mə'nɑpəli,n. 垄断；垄断者；专卖权,a monopoly in copper trading,对铜交易的垄断
exemplify,ɪɡ'zɛmplɪfaɪ,v. 例证；例示,"All these recipes exemplify my cooking: healthy, delicious and quick.",所有这些食谱例证了我的饭菜：健康、美味、快捷。
intrinsic,ɪn'trɪnsɪk,adj. 本质的，固有的,the intrinsic interest of the subject,该话题本身的趣味
emergency,ɪ'mɝdʒənsi,n. 紧急情况；突发事件；非常时刻；adj. 紧急的；备用的,Lifeguards are trained to deal with emergencies.,救生员接受过应对紧急情况的训练。
investment,ɪn'vɛstmənt,n. 投资；投入；封锁,We plan to buy some property as an investment.,我们打算买些房地产作为投资。
bachelor,'bætʃəlɚ,n. 学士；单身汉；（尚未交配的）小雄兽,"Gerald was 38, and a confirmed bachelor (=  a man who has decided that he will never marry  ) .",杰拉德38岁，抱定主意独身。
consent,kən'sɛnt,v. 同意；赞成；答应；n. 同意；（意见等的）一致；赞成,He finally consented to go.,他最终同意去。
barely,'bɛrli,adv. 仅仅，勉强；几乎不；公开地；贫乏地,She was very old and barely able to walk.,她年纪非常大，只能勉强走几步路。
hamper,'hæmpɚ,v. 妨碍；束缚；使困累；n. 食盒，食篮；阻碍物,"She tried to run, but was hampered by her heavy suitcase.",她想跑，但沉重的旅行箱拖累了她。
vary,ˈveri,v. 变化；变异；违反；n. (Vary)人名；(英、法、罗、柬)瓦里,Quentin’s mood seems to vary according to the weather.,昆廷的情绪似乎随天气而变化。
tedium,'tidɪəm,n. 沉闷；单调乏味；厌烦,"We sang while we worked, to relieve the tedium .",我们边唱歌边干活来排遣无聊。
sufficient,səˈfɪʃənt,adj. 足够的；充分的,We can only prosecute if there is sufficient evidence.,有了足够的证据，我们才能提出起诉。
decisive,dɪ'saɪsɪv,adj. 决定性的；果断的，坚定的,a decisive leader,果断的领袖
ease,iz,v. 减轻，缓和；使安心；n. 轻松，舒适；安逸，悠闲,measures to ease congestion in the city,改善城市拥堵状况的措施
shallow,'ʃælo,adj. 浅的；肤浅的；n. [地理] 浅滩；v. 使变浅,a shallow river,浅河
giant,'dʒaɪənt,n. 巨人；伟人；[动] 巨大的动物；adj. 巨大的；巨人般的,"the German chemicals giant, BASF",德国化工巨头巴斯夫公司
consolidate,kən'sɑlɪdet,v. 巩固，使固定；联合,The company has consolidated its position as the country’s leading gas supplier.,这家公司巩固了作为该国主要煤气供应商的地位。
switch,swɪtʃ,v. 转换；用鞭子等抽打；n. 开关；转换；鞭子,The terrorists will switch tactics .,恐怖分子会改变战术。
conquest,'kɑŋkwɛst,n. 征服，战胜；战利品,the Norman Conquest (= the conquest of England by the Normans ),诺曼征服
curse,kɝs,n. 诅咒；咒骂；v. 诅咒；咒骂,He muttered a curse under his breath.,他低声骂了一句。
discover,dɪ'skʌvɚ,v. 发现；发觉,The body was discovered in a field.,尸体是在一块田地里找到的。
swing,swɪŋ,n. 摇摆；摆动；秋千；音律；涨落；v. 摇摆；转向；悬挂；大摇大摆地行走；adj. 旋转的；悬挂的；强节奏爵士音乐的,kids playing on the swings,荡秋千的孩子们
hospitable,hɑ'spɪtəbl,adj. 热情友好的；（环境）舒适的,The local people were very kind and hospitable.,当地人非常友好热情。
injure,'ɪndʒɚ,v. 伤害，损害,"A number of bombs have exploded, seriously injuring at least five people.",一些炸弹爆炸了，至少5人严重受伤。
initiate,ɪ'nɪʃɪet,v. 开始，创始；发起；使初步了解；n. 开始；新加入者，接受初步知识者；adj. 新加入的；接受初步知识的,They have decided to initiate legal proceedings against the newspaper.,他们决定向该报提起法律诉讼。
comment,'kɑmɛnt,n. 评论；意见；批评；v. 发表评论；发表意见,He was fined for making abusive comments to the referee.,他因谩骂裁判而被罚款。
propel,prə'pɛl,v. 推进；驱使；激励；驱策,a boat propelled by a small motor,由小马达驱动的小船
delight,dɪ'laɪt,n. 高兴；v. 高兴,"Throughout the house, the views are a constant source of surprise and delight.",整个房子，目之所及不停带来惊奇和欣喜。
horizon,hə'raɪzn,n. [天] 地平线；视野；眼界；范围,"In the distance, the dot of a boat appeared on the horizon.",远处小黑点般的一条小船出现在地平线上。
dwell,dwɛl,v. 居住；存在于；细想某事,They dwelt in the forest.,他们住在森林里。
manner,'mænɚ,n. 方式；习惯；种类；规矩；风俗,He felt some guilt over the manner of her death.,她以这种方式死去，他心里有些内疚。
campus,'kæmpəs,n. （大学）校园；大学，大学生活；校园内的草地,a beautiful campus in New England,新英格兰的一个美丽校园
readily,'rɛdɪli,adv. 容易地；乐意地；无困难地,Jack readily agreed to help.,杰克爽快地答应帮忙。
noticeable,'notɪsəbl,adj. 显而易见的，显著的；值得注意的,Alcohol has a noticeable effect on the body.,酒精对身体有明显的影响。
challenge,'tʃælɪndʒ,n. 挑战；怀疑；v. 向…挑战；对…质疑,They threw down the challenge that he couldn’t wash 40 cars in one hour (= invited him to try to do it ) .,他们激将他，说他不可能在1小时内擦洗40辆汽车。
brilliance,'brɪljəns,n. 光辉；才华；宏伟,He is also respected for his brilliance as an artist.,他的艺术才华同样被人尊敬。
merchant,'mɝtʃənt,n. 商人，批发商；店主；adj. 商业的，商人的,the son of a wealthy merchant,一名富商的儿子
productivity,",prodʌk'tɪvəti",n. 生产力；生产率；生产能力,high productivity levels in manufacturing,制造业中的高生产率
distress,dɪ'strɛs,n. 危难，不幸；贫困；悲痛；v. 使悲痛；使贫困,acute financial distress,严重的财务困难
intermediate,",ɪntɚ'midɪət",v. 起媒介作用；adj. 中间的，中级的；n. [化学] 中间物；媒介,an intermediate stage during which the disease is dormant,疾病处于潜伏状态的中期
indifferent,ɪn'dɪfrənt,adj. 漠不关心的；无关紧要的；中性的，中立的,an indifferent cook,手艺平平的厨师
senior,'sinɪɚ,adj. 高级的；年长的；地位较高的；年资较深的，资格较老的；n. 上司；较年长者；毕业班学生,the senior Democrat on the House committee,众议院委员会中的资深民主党人
proceed,pro'sid,v. 开始；继续进行；发生；行进；n. 收入，获利,"Before proceeding further, we must define our terms.",我们必须先定义术语，然后再往下展开。
epidemic,",ɛpɪ'dɛmɪk",adj. 流行的；传染性的；n. 传染病；流行病；风尚等的流行,Over 500 people died during last year’s flu epidemic.,去年流感大暴发期间有五百多人死亡。
impetus,'ɪmpɪtəs,n. 动力；促进；冲力,The discovery gave fresh impetus to the research.,这个发现为研究带来新动力。
torment,'tɔrmɛnt,v. 折磨，使痛苦；纠缠，作弄；n. 痛苦，苦恼；痛苦的根源,Seth was tormented by feelings of guilt.,塞思被负罪感折磨着。
literal,'lɪtərəl,adj. 文字的；逐字的；无夸张的,"In many cases, the people there are fighting, in a literal sense, for their homes.",多数情况下，那里的人们实际上都是在为他们的家园而战斗。
mess,mɛs,n. 混乱；食堂，伙食团；困境；脏乱的东西；v. 弄乱，弄脏；毁坏；使就餐,What a mess!,太乱了！
preside,prɪ'zaɪd,v. 主持，担任会议主席,I shall be pleased to preside at your meetings.,我很高兴主持你们的会议。
spouse,spaʊs,n. 配偶；vt. 和…结婚,Spouses were invited to the company picnic.,配偶受到邀请参加公司的野餐会。
frame,frem,n. 框架；结构；[电影] 画面；v. 设计；建造；陷害；使…适合；adj. 有木架的；有构架的,They removed the picture from its wooden frame.,他们把画从木镜框中取下来。
cognitive,'kɑɡnətɪv,adj. 认知的，认识的,cognitive psychology,认知心理学
priority,praɪ'ɔrəti,n. 优先；优先权；[数] 优先次序；优先考虑的事,The club’s priority is to win the League.,该俱乐部首先考虑的是要赢得联赛。
renovation,",rɛnə'veʃən",n. 革新；修理；恢复活力,,
admission,əd'mɪʃən,n. 承认；入场费；进入许可；坦白；录用,"Reese, by his own admission , lacks the necessary experience.",里斯自己也承认缺乏必要的经验。
ritual,'rɪtʃuəl,n. 仪式；惯例；礼制；adj. 仪式的；例行的；礼节性的,ancient pagan rituals,古老的异教仪式
combination,",kɑmbɪ'neʃən",n. 结合；组合；联合；[化学] 化合,a combination nightclub and café,夜总会兼咖啡馆
frighten,'fraɪtn,v. 使惊吓；吓唬…,Don’t stand so near the edge! You’re frightening me.,别站得那么靠边！你要把我吓坏了。
dose,dos,n. 剂量；一剂，一服；v. 服药,I quite like Jamie in small doses (= in limited amounts but not a lot or often ) .,如果偶尔在一起的话，我还是蛮喜欢杰米的。
navigate,'nævə'get,v. 驾驶，操纵；使通过；航行于,The river is too dangerous to navigate.,这河道太危险，不适宜航行。
gaze,ɡeɪz,v. 凝视；注视；n. 凝视；注视,"Patrick sat gazing into space  (= looking straight in front, not at any particular person or thing ).",帕特里克坐着，茫然地看着前方。
treaty,'triti,n. 条约，协议；谈判,Both sides have agreed to sign the treaty .,双方都同意签署该条约。
patent,'pætnt,v. 授予专利；取得…的专利权；adj. 专利的；新奇的；显然的；n. 专利权；执照；专利品,He patented the idea that the atom could be split.,他得到了原子可以分裂的这个见解的专利。
define,dɪ'faɪn,v. 定义；使明确；规定；n. (Define)人名；(英)德法恩；(葡)德菲内,the ability to define clients’ needs,确定客户需求的能力
comprehension,",kɑmprɪ'hɛnʃən",n. 理解；包含,Why you let her talk you into doing such a foolish thing is beyond my comprehension (= impossible for me to understand ) .,你怎么会被她说服去做这种蠢事，我实在是无法理解。
drag,dræg,v. 拖累；拖拉；缓慢而吃力地行进；n. 拖；拖累,He grabbed her arm and dragged her into the room.,他抓住她的手臂把她拖进房间。
debate,dɪ'bet,v. 辩论，争论，讨论；n. 辩论；辩论会,The issue will be debated on Tuesday.,这个问题将在星期二讨论。
distance,'dɪstəns,n. 距离；远方；疏远；间隔；v. 疏远；把…远远甩在后面,Measure the distance between the two points.,量出两点之间的距离。
investor,ɪn'vɛstɚ,n. 投资者,The main investor in the project is the French bank Credit National.,该项目的主要投资方是法国国民信贷银行。
minimum,'mɪnɪməm,n. 最小值；最低限度；最小化；最小量；adj. 最小的；最低的,"At a minimum, we must recruit two new teachers.",我们最起码应该招两名新教师。
puzzle,'pʌzl,v. 使…困惑；使…为难；苦思而得出；n. 谜；难题；迷惑,a question that continues to puzzle scientists,一直困扰科学家的问题
concise,kən'saɪs,adj. 简明的，简洁的,Your summary should be as clear and concise as possible.,你的总结应该尽可能地明白简洁。
noble,'nobl,adj. 高尚的；贵族的；惰性的；宏伟的；n. 贵族；vt. 抓住；逮捕,It’s very noble of you to spend all your weekends helping the old folk.,你心地真好，周末的时间全都用来帮助老人。
bargain,ˈbɑːɡɪn,n. 交易；便宜货；契约；v. 讨价还价；议价；(谈价钱后)卖,There are no bargains in the clothes shops at the moment.,这阵子服装店里没有什么便宜货。
refuse,ri'fjʊz,n. 垃圾；废物；v. 拒绝；不愿；抵制,a refuse dump,垃圾场
comply,kəm'plaɪ,v. 遵守；顺从，遵从；答应,The newspaper was asked by federal agents for assistance and agreed to comply.,联邦探员要求这家报社给予协助，报社同意配合。
insect,'ɪnsɛkt,n. 昆虫；卑鄙的人,an insect bite,昆虫的叮咬
sponsor,'spɑnsɚ,n. 赞助者；主办者；保证人；v. 赞助；发起,You cannot get a work visa without an American sponsor.,如果没有美国担保人就拿不到工作签证。
frequent,'frikwənt,adj. 频繁的；时常发生的；惯常的；v. 常到，常去；时常出入于,Trains rushed past at frequent intervals .,火车频频驶过。
faint,fent,adj. 模糊的；头晕的；虚弱的；[医] 衰弱的；v. 昏倒；变得微弱；变得没气力；n. [中医] 昏厥，昏倒,She gave a faint smile.,她淡淡一笑。
substance,'sʌbstəns,n. 物质；实质；资产；主旨,The leaves were covered with a strange sticky substance.,树叶上覆着一层黏糊糊的怪东西。
sketch,skɛtʃ,n. 素描；略图；梗概；v. 画素描或速写,...thumbnail sketches of heads of state and political figures.,…国家首脑和政治要员们的简要陈述。
indignant,ɪn'dɪɡnənt,adj. 愤愤不平的；义愤的,an indignant reply,愤慨的回复
impress,ɪm'prɛs,v. 盖印；强征；传送；给予某人深刻印象；n. 印象，印记；特征，痕迹,Steve borrowed his dad’s sports car to impress his girlfriend.,史蒂夫借来他爸爸的跑车向女友炫耀。
subtract,səb'trækt,v. 减去；扣掉,"Thus, if you have staff activities in loops and want to run the above request, you need to ensure that you subtract only events which belong together.",因此，如果您在循环中具有人员活动，并且想要运行以上的请求，那么您必须确保您只减去了属于一起的事件。
vigorous,'vɪɡərəs,adj. 有力的；精力充沛的,Your dog needs at least 20 minutes of vigorous exercise every day.,你的狗每天需要进行至少20分钟的剧烈运动。
handicap,'hændɪ'kæp,n. 障碍；不利条件，不利的因素；v. 妨碍，阻碍；使不利,Not speaking the language is a real handicap.,不会讲这种语言的确是一个障碍。
alleviate,ə'livɪ'et,v. 减轻，缓和,measures to alleviate poverty,扶贫措施
imitate,'ɪmɪtet,v. 模仿，仿效；仿造，仿制,She was a splendid mimic and loved to imitate Winston Churchill.,她是个出色的模仿者，喜欢模仿温斯顿·丘吉尔。
descend,dɪ'sɛnd,v. 下降；下去；下来；遗传；屈尊,Our plane started to descend.,我们的飞机开始下降。
disappear,'dɪsə'pɪr,v. 消失；失踪；不复存在,At this point the path seemed to disappear altogether (= disappear completely ) .,小路到这里好像完全消失了。
sample,'sæmpl,v. 取样；尝试；抽样检查；n. 样品；样本；例子；adj. 试样的，样品的；作为例子的,a chance to sample the local food,品尝当地食品的一个机会
ignorance,'ɪɡnərəns,n. 无知，愚昧；不知，不懂,"Excuse my ignorance, but how does it actually work?",请原谅我的无知，它究竟是如何运作的？
intermittent,",ɪntɚ'mɪtənt",adj. 间歇的；断断续续的；间歇性,"The weather forecast is for sun, with intermittent showers.",天气预报为晴，有阵雨。
fatal,'fetl,adj. 致命的；重大的；毁灭性的；命中注定的；n. (Fatal)人名；(葡、芬)法塔尔,potentially fatal diseases,潜在致命的疾病
blunt,blʌnt,adj. 钝的，不锋利的；生硬的；直率的；v. 使迟钝；n. (Blunt)人名；(英)布伦特,Sharpen all your blunt knives.,把你所有的钝刀子都磨一磨。
dump,dʌmp,v. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销；n. 垃圾场；仓库；无秩序地累积,Merrill dumped her suitcase down in the hall.,梅里尔把手提箱扔在门厅里。
advantage,əd'væntɪdʒ,n. 优势；利益；有利条件；v. 获利,Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.,年轻点的工人申请工作时往往处于优势地位。
participate,pɑr'tɪsə'pet,v. 参与，参加；分享,Some members refused to participate.,有些会员拒绝参加。
enforce,ɪn'fɔrs,v. 实施，执行；强迫，强制,Parking restrictions will be strictly enforced.,停车限制将会严格执行。
enlarge,ɪn'lɑrdʒ,v. 扩大；放大；详述,an operation to enlarge her breasts,她的丰胸手术
elect,ɪ'lɛkt,adj. 选出的；当选的；卓越的；n. 被选的人；特殊阶层；上帝的选民；v. 选举；选择；推选,...the date when the president-elect takes office.,…总统当选人的就职日。
luxurious,lʌɡ'ʒʊrɪəs,adj. 奢侈的；丰富的；放纵的；特级的,a luxurious 30-room villa,一栋有30个房间的豪华度假别墅
subscribe,səb'skraɪb,v. 订阅；捐款；认购；赞成；签署,My main reason for subscribing to New Scientist is to keep abreast of advances in science.,我订阅《新科学家》的主要原因是要跟上科学的进步。
powerful,'paʊɚfl,adj. 强大的；强有力的；adv. 很；非常,He was one of the most powerful men in Bohemia.,他是波希米亚最有权势的人物之一。
consciousness,'kɑnʃəsnəs,n. 意识；知觉；觉悟；感觉,The painful memories eventually faded from her consciousness.,那些痛苦的回忆最终从她的意识中淡去了。
instant,'ɪnstənt,adj. 立即的；紧急的；紧迫的；n. 瞬间；立即；片刻,an instant success,马到成功
liberate,'lɪbə'ret,v. 解放；放出；释放,"A few days later, our armies liberated the city.",几天以后，我军解放了这座城市。
detest,dɪ'tɛst,v. 厌恶；憎恨,The two men detested each other.,两个男人互相厌恶。
instinct,'ɪnstɪŋkt,n. 本能，直觉；天性；adj. 充满着的,Her instinct told her that something was wrong.,直觉告诉她有些不对劲。
gap,ɡæp,n. 间隙；缺口；差距；分歧；v. 裂开,a gap in the traffic,车流中的一个空档
